"MIXOL LW-1 - 10","mixol-lw-1-10","#4e5257"
"MIXOL LW-11 - 2","mixol-lw-11-2","#aa9ed5"
"MIXOL LW-11 - 1","mixol-lw-11-1","#bcb1df"
"MIXOL LW-11 - 0-2","mixol-lw-11-0-2","#ddd7ea"
"MIXOL LW-12 - 10","mixol-lw-12-10","#688270"
"MIXOL LW-12 - 4","mixol-lw-12-4","#7e9c8a"
"MIXOL LW-12 - 2","mixol-lw-12-2","#92af9d"
"MIXOL LW-12 - 1","mixol-lw-12-1","#a8c1af"
"MIXOL LW-12 - 0-2","mixol-lw-12-0-2","#d1e0d1"
"MIXOL LW-13 - 10","mixol-lw-13-10","#5aa277"
"MIXOL LW-13 - 4","mixol-lw-13-4","#76bc92"
"MIXOL LW-13 - 2","mixol-lw-13-2","#8ecca6"
"MIXOL LW-13 - 1","mixol-lw-13-1","#a5dab7"
"MIXOL LW-13 - 0-2","mixol-lw-13-0-2","#d0eed1"
"MIXOL LW-14 - 10","mixol-lw-14-10","#7c9376"
"MIXOL LW-14 - 4","mixol-lw-14-4","#96ac90"
"MIXOL LW-14 - 2","mixol-lw-14-2","#abbea4"
"MIXOL LW-14 - 1","mixol-lw-14-1","#beceb7"
"MIXOL LW-14 - 0-2","mixol-lw-14-0-2","#dfe7d6"
"MIXOL LW-15 - 10","mixol-lw-15-10","#959268"
"MIXOL LW-15 - 4","mixol-lw-15-4","#aeac83"
"MIXOL LW-15 - 2","mixol-lw-15-2","#bfbd97"
"MIXOL LW-15 - 1","mixol-lw-15-1","#d0cfad"
"MIXOL LW-15 - 0-2","mixol-lw-15-0-2","#eae7d0"
"MIXOL LW-16 - 10","mixol-lw-16-10","#b7a769"
"MIXOL LW-16 - 4","mixol-lw-16-4","#cec086"
"MIXOL LW-16 - 2","mixol-lw-16-2","#d9cb96"
"MIXOL LW-16 - 1","mixol-lw-16-1","#e5daad"
"MIXOL LW-16 - 0-2","mixol-lw-16-0-2","#f3eccd"
"MIXOL LW-17 - 10","mixol-lw-17-10","#c7a86b"
"MIXOL LW-17 - 4","mixol-lw-17-4","#d9be85"
"MIXOL LW-17 - 2","mixol-lw-17-2","#e5cd9b"
"MIXOL LW-17 - 1","mixol-lw-17-1","#eddaae"
"MIXOL LW-17 - 0-2","mixol-lw-17-0-2","#f6ecce"
"MIXOL L-18 - 10","mixol-l-18-10","#e67c60"
"MIXOL L-18 - 4","mixol-l-18-4","#ef997b"
"MIXOL L-18 - 2","mixol-l-18-2","#f4ac8f"
"MIXOL L-18 - 1","mixol-l-18-1","#f8bda3"
"MIXOL L-18 - 0-2","mixol-l-18-0-2","#fadcc7"
"MIXOL LW-19 - 10","mixol-lw-19-10","#c78e64"
"MIXOL LW-19 - 4","mixol-lw-19-4","#dcaa81"
"MIXOL LW-19 - 2","mixol-lw-19-2","#e6ba93"
"MIXOL LW-19 - 1","mixol-lw-19-1","#efcaa8"
"MIXOL LW-19 - 0-2","mixol-lw-19-0-2","#f8e4cd"
"MIXOL LW-20 - 10","mixol-lw-20-10","#b07a69"
"MIXOL LW-20 - 4","mixol-lw-20-4","#c69483"
"MIXOL LW-20 - 2","mixol-lw-20-2","#d6a998"
"MIXOL LW-20 - 1","mixol-lw-20-1","#e2bbac"
"MIXOL LW-20 - 0-2","mixol-lw-20-0-2","#f3dcd0"
"MIXOL LW-21 - 10","mixol-lw-21-10","#b48666"
"MIXOL LW-21 - 4","mixol-lw-21-4","#c79d7d"
"MIXOL LW-21 - 2","mixol-lw-21-2","#d4af92"
"MIXOL LW-21 - 1","mixol-lw-21-1","#dfc0a6"
"MIXOL LW-21 - 0-2","mixol-lw-21-0-2","#f1dfcc"
"MIXOL LW-22 - 10","mixol-lw-22-10","#8c756a"
"MIXOL LW-22 - 4","mixol-lw-22-4","#ac978b"
"MIXOL LW-22 - 2","mixol-lw-22-2","#baa69a"
"MIXOL LW-22 - 1","mixol-lw-22-1","#d2bfb4"
"MIXOL LW-22 - 0-2","mixol-lw-22-0-2","#e6d9cf"
"MIXOL LW-23 - 10","mixol-lw-23-10","#7c6d68"
"MIXOL LW-23 - 4","mixol-lw-23-4","#9c8e88"
"MIXOL LW-23 - 2","mixol-lw-23-2","#aa9d96"
"MIXOL LW-23 - 1","mixol-lw-23-1","#c2b7b1"
"MIXOL LW-23 - 0-2","mixol-lw-23-0-2","#e4dcd6"
"MIXOL LW-24 - 10","mixol-lw-24-10","#7d7872"
"MIXOL LW-24 - 4","mixol-lw-24-4","#939089"
"MIXOL LW-24 - 2","mixol-lw-24-2","#aea79d"
"MIXOL LW-24 - 1","mixol-lw-24-1","#bdb8ae"
"MIXOL LW-24 - 0-2","mixol-lw-24-0-2","#dcd8d0"
"MIXOL LW-26 - 10","mixol-lw-26-10","#ffdb57"
"MIXOL LW-26 - 4","mixol-lw-26-4","#ffe47e"
"MIXOL LW-26 - 2","mixol-lw-26-2","#ffea96"
"MIXOL LW-26 - 1","mixol-lw-26-1","#ffeeab"
"MIXOL LW-26 - 0-2","mixol-lw-26-0-2","#fcf4ce"
"MIXOL LW-27 - 10","mixol-lw-27-10","#d96470"
"MIXOL LW-27 - 4","mixol-lw-27-4","#e77d89"
"MIXOL LW-27 - 2","mixol-lw-27-2","#ee929e"
"MIXOL LW-27 - 1","mixol-lw-27-1","#f3a7b1"
"MIXOL LW-27 - 0-2","mixol-lw-27-0-2","#f9d0d4"
"MIXOL LW-28 - 10","mixol-lw-28-10","#c065a3"
"MIXOL LW-28 - 4","mixol-lw-28-4","#d685be"
"MIXOL LW-28 - 2","mixol-lw-28-2","#e09ccd"
"MIXOL LW-28 - 1","mixol-lw-28-1","#e8b1d9"
"MIXOL LW-28 - 0-2","mixol-lw-28-0-2","#f2d6e8"
"MIXOL LW-29 - 10","mixol-lw-29-10","#6d707a"
"MIXOL LW-29 - 4","mixol-lw-29-4","#878b94"
"MIXOL LW-29 - 2","mixol-lw-29-2","#9da1a9"
"MIXOL LW-29 - 1","mixol-lw-29-1","#b5b8be"
"MIXOL LW-29 - 0-2","mixol-lw-29-0-2","#d8dada"
"MIXOL LW-30 - 10","mixol-lw-30-10","#f7eb59"
"MIXOL LW-30 - 4","mixol-lw-30-4","#f7f17a"
"MIXOL LW-30 - 2","mixol-lw-30-2","#f6f493"
"MIXOL LW-30 - 1","mixol-lw-30-1","#f6f5a8"
"MIXOL LW-30 - 0-2","mixol-lw-30-0-2","#f6f6ca"
"MIXOL LW-31 - 10","mixol-lw-31-10","#73b28c"
"MIXOL LW-31 - 4","mixol-lw-31-4","#97caa9"
"MIXOL LW-31 - 2","mixol-lw-31-2","#add7bb"
"MIXOL LW-31 - 1","mixol-lw-31-1","#c1e2cb"
"MIXOL LW-31 - 0-2","mixol-lw-31-0-2","#d4ecd9"
"MIXOL LW-32 - 10","mixol-lw-32-10","#68a6dc"
"MIXOL LW-32 - 4","mixol-lw-32-4","#8cbee7"
"MIXOL LW-32 - 2","mixol-lw-32-2","#a5cdec"
"MIXOL LW-32 - 1","mixol-lw-32-1","#bad9ee"
"MIXOL LW-32 - 0-2","mixol-lw-32-0-2","#ddebee"
