"Caparol Chromoxidgruen 25S","chromoxidgruen-25s","#8f7a3e"
"Caparol Oxidbraun 14S 2","oxidbraun-14s-2","#a27767"
"Caparol Oxidbraun 14S 3","oxidbraun-14s-3","#c2a194"
"Caparol Oxidbraun 14S 4","oxidbraun-14s-4","#dcc4b8"
"Caparol Oxidbraun 14S 5","oxidbraun-14s-5","#e7d4ca"
"Caparol Oxidbraun 15S","oxidbraun-15s","#78554b"
"Caparol Oxidbraun 15S 1","oxidbraun-15s-1","#826158"
"Caparol Oxidbraun 15S 2","oxidbraun-15s-2","#9b7d76"
"Caparol Oxidbraun 15S 3","oxidbraun-15s-3","#bfa8a3"
"Caparol Oxidbraun 15S 4","oxidbraun-15s-4","#d8cac5"
"Caparol Oxidbraun 15S 5","oxidbraun-15s-5","#e2d6d2"
"Caparol Oxidbraun 16S","oxidbraun-16s","#6c4a3d"
"Caparol Oxidbraun 16S 1","oxidbraun-16s-1","#735347"
"Caparol Oxidbraun 16S 2","oxidbraun-16s-2","#8d6f65"
"Caparol Oxidbraun 16S 3","oxidbraun-16s-3","#b39d95"
"Caparol Oxidbraun 16S 4","oxidbraun-16s-4","#d2c2bc"
"Caparol Oxidbraun 16S 5","oxidbraun-16s-5","#e2d7d1"
"Caparol Oxidbraun 17S","oxidbraun-17s","#614c3d"
"Caparol Oxidbraun 17S 1","oxidbraun-17s-1","#6c584a"
"Caparol Oxidbraun 17S 2","oxidbraun-17s-2","#8a786c"
"Caparol Oxidbraun 17S 3","oxidbraun-17s-3","#b3a398"
"Caparol Oxidbraun 17S 4","oxidbraun-17s-4","#d0c7c0"
"Caparol Oxidbraun 17S 5","oxidbraun-17s-5","#e1d9d2"
"Caparol Oxidbraun 18S","oxidbraun-18s","#715f4c"
"Caparol Oxidbraun 18S 1","oxidbraun-18s-1","#7c6a59"
"Caparol Oxidbraun 18S 2","oxidbraun-18s-2","#928272"
"Caparol Oxidbraun 18S 3","oxidbraun-18s-3","#b6aa9d"
"Caparol Oxidbraun 18S 4","oxidbraun-18s-4","#d3cbc1"
"Caparol Oxidbraun 18S 5","oxidbraun-18s-5","#e4ded6"
"Caparol Oxidbraun 19S","oxidbraun-19s","#846043"
"Caparol Oxidbraun 19S 1","oxidbraun-19s-1","#8e6a4e"
"Caparol Oxidbraun 19S 2","oxidbraun-19s-2","#a28066"
"Caparol Oxidbraun 19S 3","oxidbraun-19s-3","#c7ac97"
"Caparol Oxidbraun 19S 4","oxidbraun-19s-4","#ddccbf"
"Caparol Oxidbraun 19S 5","oxidbraun-19s-5","#e7dbcf"
"Caparol Oxidbraun 20S","oxidbraun-20s","#7b5f48"
"Caparol Oxidbraun 20S 1","oxidbraun-20s-1","#83664e"
"Caparol Oxidbraun 20S 2","oxidbraun-20s-2","#987d66"
"Caparol Oxidbraun 20S 3","oxidbraun-20s-3","#bca593"
"Caparol Oxidbraun 20S 4","oxidbraun-20s-4","#dbcec1"
"Caparol Oxidbraun 20S 5","oxidbraun-20s-5","#e2dad0"
"Caparol Oxidbraun 36S","oxidbraun-36s","#675a51"
"Caparol Oxidbraun 36S 1","oxidbraun-36s-1","#6a5d52"
"Caparol Oxidbraun 36S 2","oxidbraun-36s-2","#7e7368"
"Caparol Oxidbraun 36S 3","oxidbraun-36s-3","#a79c92"
"Caparol Oxidbraun 36S 4","oxidbraun-36s-4","#cbc2b9"
"Caparol Oxidbraun 36S 5","oxidbraun-36s-5","#e3dcd3"
"Caparol Oxidgelb 2S","oxidgelb-2s","#d5a957"
"Caparol Oxidgelb 2S 1","oxidgelb-2s-1","#dbb163"
"Caparol Oxidgelb 2S 2","oxidgelb-2s-2","#e2c180"
"Caparol Oxidgelb 2S 3","oxidgelb-2s-3","#edd8ae"
"Caparol Oxidgelb 2S 4","oxidgelb-2s-4","#f0e6cb"
"Caparol Oxidgelb 2S 5","oxidgelb-2s-5","#f2ead7"
"Caparol Oxidgelb 35S","oxidgelb-35s","#c78642"
"Caparol Oxidgelb 35S 1","oxidgelb-35s-1","#d0904b"
"Caparol Oxidgelb 35S 2","oxidgelb-35s-2","#d69a57"
"Caparol Oxidgelb 35S 3","oxidgelb-35s-3","#e7b77d"
"Caparol Oxidgelb 35S 4","oxidgelb-35s-4","#f0d3ac"
"Caparol Oxidgelb 35S 5","oxidgelb-35s-5","#f0dcc0"
"Caparol Oxidgelb 3S","oxidgelb-3s","#d29d4c"
"Caparol Oxidgelb 3S 1","oxidgelb-3s-1","#d5a359"
"Caparol Oxidgelb 3S 2","oxidgelb-3s-2","#e3b877"
"Caparol Oxidgelb 3S 3","oxidgelb-3s-3","#ebcfa1"
"Caparol Oxidgelb 3S 4","oxidgelb-3s-4","#f0e1c1"
"Caparol Oxidgelb 3S 5","oxidgelb-3s-5","#eee6d1"
"Caparol Oxidgelb 4S","oxidgelb-4s","#ca8d39"
"Caparol Oxidgelb 4S 1","oxidgelb-4s-1","#d49847"
"Caparol Oxidgelb 4S 2","oxidgelb-4s-2","#dba85c"
"Caparol Oxidgelb 4S 3","oxidgelb-4s-3","#ecc58c"
"Caparol Oxidgelb 4S 4","oxidgelb-4s-4","#f4deb8"
"Caparol Oxidgelb 4S 5","oxidgelb-4s-5","#f1e2c8"
"Caparol Oxidgelb 5S","oxidgelb-5s","#ab7940"
"Caparol Oxidgelb 5S 1","oxidgelb-5s-1","#b48249"
"Caparol Oxidgelb 5S 2","oxidgelb-5s-2","#c59764"
"Caparol Oxidgelb 5S 3","oxidgelb-5s-3","#dab88f"
"Caparol Oxidgelb 5S 4","oxidgelb-5s-4","#ecd5b7"
"Caparol Oxidgelb 5S 5","oxidgelb-5s-5","#f4e5cf"
"Caparol Oxidgelb 6S","oxidgelb-6s","#b87a43"
"Caparol Oxidgelb 6S 1","oxidgelb-6s-1","#bf834b"
"Caparol Oxidgelb 6S 2","oxidgelb-6s-2","#cd9764"
"Caparol Oxidgelb 6S 3","oxidgelb-6s-3","#e1b98f"
"Caparol Oxidgelb 6S 4","oxidgelb-6s-4","#edd4b7"
"Caparol Oxidgelb 6S 5","oxidgelb-6s-5","#f3e2cb"
"Caparol Oxidorange","oxidorange","#904b3a"
"Caparol Oxidrot","oxidrot","#7f443e"
"Caparol Oxidrot 10S","oxidrot-10s","#9f573e"
"Caparol Oxidrot 10S 1","oxidrot-10s-1","#a45f46"
"Caparol Oxidrot 10S 2","oxidrot-10s-2","#b8765f"
"Caparol Oxidrot 10S 3","oxidrot-10s-3","#d4a18e"
"Caparol Oxidrot 10S 4","oxidrot-10s-4","#e3c1b4"
"Caparol Oxidrot 10S 5","oxidrot-10s-5","#ecd4c7"
"Caparol Oxidrot 11S","oxidrot-11s","#a0533f"
"Caparol Oxidrot 11S 1","oxidrot-11s-1","#a35440"
"Caparol Oxidrot 11S 2","oxidrot-11s-2","#bd715e"
"Caparol Oxidrot 11S 3","oxidrot-11s-3","#d79683"
"Caparol Oxidrot 11S 4","oxidrot-11s-4","#eac1b5"
"Caparol Oxidrot 11S 5","oxidrot-11s-5","#f0d3c8"
"Caparol Oxidrot 12S","oxidrot-12s","#924e3f"
"Caparol Oxidrot 12S 1","oxidrot-12s-1","#995749"
"Caparol Oxidrot 12S 2","oxidrot-12s-2","#a96b5c"
"Caparol Oxidrot 12S 3","oxidrot-12s-3","#c8968b"
"Caparol Oxidrot 12S 4","oxidrot-12s-4","#debbb1"
"Caparol Oxidrot 12S 5","oxidrot-12s-5","#ead1c7"
"Caparol Oxidrot 7S","oxidrot-7s","#ad6b3d"
"Caparol Oxidrot 7S 1","oxidrot-7s-1","#b37347"
"Caparol Oxidrot 7S 2","oxidrot-7s-2","#c58b60"
"Caparol Oxidrot 7S 3","oxidrot-7s-3","#dbaf8d"
"Caparol Oxidrot 7S 4","oxidrot-7s-4","#ecd1ba"
"Caparol Oxidrot 7S 5","oxidrot-7s-5","#f2e1d0"
"Caparol Oxidrot 8S","oxidrot-8s","#a5643c"
"Caparol Oxidrot 8S 1","oxidrot-8s-1","#ac6d4a"
"Caparol Oxidrot 8S 2","oxidrot-8s-2","#bd8364"
"Caparol Oxidrot 8S 3","oxidrot-8s-3","#d5a88f"
"Caparol Oxidrot 8S 4","oxidrot-8s-4","#e9cbb9"
"Caparol Oxidrot 8S 5","oxidrot-8s-5","#f0dccc"
"Caparol Oxidrot 9S","oxidrot-9s","#b36743"
"Caparol Oxidrot 9S 1","oxidrot-9s-1","#bb6f4b"
"Caparol Oxidrot 9S 2","oxidrot-9s-2","#c98563"
"Caparol Oxidrot 9S 3","oxidrot-9s-3","#e1ac8e"
"Caparol Oxidrot 9S 4","oxidrot-9s-4","#edccb7"
"Caparol Oxidrot 9S 5","oxidrot-9s-5","#edd6c6"
"Caparol Oxidschwarz 32S","oxidschwarz-32s","#4e4b47"
"Caparol Oxidschwarz 32S 1","oxidschwarz-32s-1","#585551"
"Caparol Oxidschwarz 32S 2","oxidschwarz-32s-2","#73716f"
"Caparol Oxidschwarz 32S 3","oxidschwarz-32s-3","#a5a4a1"
"Caparol Oxidschwarz 32S 4","oxidschwarz-32s-4","#c7c7c3"
"Caparol Oxidschwarz 32S 5","oxidschwarz-32s-5","#d7d7d3"
"Caparol Oxidschwarz 33S","oxidschwarz-33s","#554f43"
"Caparol Oxidschwarz 33S 1","oxidschwarz-33s-1","#60594d"
"Caparol Oxidschwarz 33S 2","oxidschwarz-33s-2","#7a746b"
"Caparol Oxidschwarz 33S 3","oxidschwarz-33s-3","#a5a198"
"Caparol Oxidschwarz 33S 4","oxidschwarz-33s-4","#cdcac1"
"Caparol Oxidschwarz 33S 5","oxidschwarz-33s-5","#dbd8d0"
"Caparol Oxidschwarz 34S","oxidschwarz-34s","#675b49"
"Caparol Oxidschwarz 34S 1","oxidschwarz-34s-1","#706451"
"Caparol Oxidschwarz 34S 2","oxidschwarz-34s-2","#877d6b"
"Caparol Oxidschwarz 34S 3","oxidschwarz-34s-3","#b1a999"
"Caparol Oxidschwarz 34S 4","oxidschwarz-34s-4","#d3cec3"
"Caparol Oxidschwarz 34S 5","oxidschwarz-34s-5","#ddd7cd"
"Caparol Oxidschwarz 38S","oxidschwarz-38s","#6d7478"
"Caparol Oxidschwarz 38S 1","oxidschwarz-38s-1","#777d82"
"Caparol Oxidschwarz 38S 2","oxidschwarz-38s-2","#8e9497"
"Caparol Oxidschwarz 38S 3","oxidschwarz-38s-3","#b7bcbc"
"Caparol Oxidschwarz 38S 4","oxidschwarz-38s-4","#d2d5d5"
"Caparol Oxidschwarz 38S 5","oxidschwarz-38s-5","#eaeae5"
"Caparol Schwarz","schwarz","#3b3b3c"
"Caparol Sylitol-Gelb","sylitol-gelb","#ede37d"
"Caparol Sylitol-Gruen","sylitol-gruen","#5e7b56"
"Caparol Sylitol-Kobaltblau","sylitol-kobaltblau","#147ea5"
"Caparol Sylitol-Ocker","sylitol-ocker","#c68d3d"
"Caparol Sylitol-Oxidbraun","sylitol-oxidbraun","#785b46"
"Caparol Sylitol-Oxidorange","sylitol-oxidorange","#9b4f3e"
"Caparol Sylitol-Oxidrot","sylitol-oxidrot","#84453d"
"Caparol Sylitol-Schwarz","sylitol-schwarz","#3f4042"
"Caparol Sylitol-Umbra","sylitol-umbra","#726346"
"Caparol Umbra","umbra","#7a6846"
"Caparol Umbra 21S","umbra-21s","#836847"
"Caparol Umbra 21S 1","umbra-21s-1","#8f7758"
"Caparol Umbra 21S 2","umbra-21s-2","#a28a6a"
"Caparol Umbra 21S 3","umbra-21s-3","#c5b399"
"Caparol Umbra 21S 4","umbra-21s-4","#dccfbd"
"Caparol Umbra 21S 5","umbra-21s-5","#e9e0d0"
"Caparol Umbra 22S","umbra-22s","#8c724c"
"Caparol Umbra 22S 1","umbra-22s-1","#967d57"
"Caparol Umbra 22S 2","umbra-22s-2","#a8916f"
"Caparol Umbra 22S 3","umbra-22s-3","#c7b599"
"Caparol Umbra 22S 4","umbra-22s-4","#ded2bf"
"Caparol Umbra 22S 5","umbra-22s-5","#ebe2d3"
"Caparol Umbra 23S","umbra-23s","#9d7a41"
"Caparol Umbra 23S 1","umbra-23s-1","#a9854d"
"Caparol Umbra 23S 2","umbra-23s-2","#b69765"
"Caparol Umbra 23S 3","umbra-23s-3","#d5bc95"
"Caparol Umbra 23S 4","umbra-23s-4","#e8d8bc"
"Caparol Umbra 23S 5","umbra-23s-5","#eae0cc"
"Caparol Umbra 24S","umbra-24s","#aa8847"
"Caparol Umbra 24S 1","umbra-24s-1","#b18e4e"
"Caparol Umbra 24S 2","umbra-24s-2","#bd9e65"
"Caparol Umbra 24S 3","umbra-24s-3","#dbc193"
"Caparol Umbra 24S 4","umbra-24s-4","#e9d8b9"
"Caparol Umbra 24S 5","umbra-24s-5","#f0e4cc"
