"Sikkens ON-00-90 ","on-00-90","#f1efec"
"Sikkens A0-05-35 ","a0-05-35","#716165"
"Sikkens A0-05-25 ","a0-05-25","#564a4c"
"Sikkens A0-05-15 ","a0-05-15","#423a3a"
"Sikkens A0-07-77 ","a0-07-77","#edccd4"
"Sikkens A0-10-75 ","a0-10-75","#f5c3ce"
"Sikkens A0-10-70 ","a0-10-70","#e3b5c2"
"Sikkens A0-10-60 ","a0-10-60","#c29ba6"
"Sikkens A0-10-50 ","a0-10-50","#a3818b"
"Sikkens A0-10-40 ","a0-10-40","#856971"
"Sikkens A0-10-30 ","a0-10-30","#694e56"
"Sikkens A0-10-20 ","a0-10-20","#523e42"
"Sikkens A0-15-65","a0-15-65","#e1a2b1"
"Sikkens A0-20-60","a0-20-60","#d78ca2"
"Sikkens A0-20-50","a0-20-50","#be7b8f"
"Sikkens A0-20-40","a0-20-40","#9a5f6f"
"Sikkens A0-20-30","a0-20-30","#7d4b5c"
"Sikkens A0-20-20","a0-20-20","#603944"
"Sikkens A0-20-12","a0-20-12","#482b35"
"Sikkens A6-25-05","a6-25-05","#452d30"
"Sikkens A8-20-60 ","a8-20-60","#da8f97"
"Sikkens A6-30-50 ","a6-30-50","#c9687a"
"Sikkens A0-30-50 ","a0-30-50","#cc688a"
"Sikkens A6-35-40 ","a6-35-40","#b64f6b"
"Sikkens A0-30-40 ","a0-30-40","#a8536f"
"Sikkens A0-30-30 ","a0-30-30","#89425d"
"Sikkens A0-41-28 ","a0-41-28","#952b54"
"Sikkens A0-30-20 ","a0-30-20","#6d2e45"
"Sikkens B3-19-67 ","b3-19-67","#ef9e9f"
"Sikkens B2-30-60 ","b2-30-60","#e37e84"
"Sikkens B3-37-51 ","b3-37-51","#de646f"
"Sikkens B2-40-50 ","b2-40-50","#d95d69"
"Sikkens B0-39-40 ","b0-39-40","#bb455a"
"Sikkens B0-39-30 ","b0-39-30","#97384a"
"Sikkens B0-35-25 ","b0-35-25","#7e333f"
"Sikkens B0-25-25 ","b0-25-25","#764048"
"Sikkens B3-31-54 ","b3-31-54","#e4747c"
"Sikkens B6-40-50 ","b6-40-50","#d95f64"
"Sikkens B6-40-40 ","b6-40-40","#b74a51"
"Sikkens B6-50-40 ","b6-50-40","#c03a4a"
"Sikkens B2-40-40 ","b2-40-40","#b94257"
"Sikkens B3-49-33","b3-49-33","#ab2f43"
"Sikkens B8-50-20","b8-50-20","#7c2329"
"Sikkens B6-45-15","b6-45-15","#69272e"
"Sikkens B3-14-73","b3-14-73","#f7b7b6"
"Sikkens B3-25-60","b3-25-60","#e98b90"
"Sikkens B2-30-50 ","b2-30-50","#d26874"
"Sikkens B2-30-40 ","b2-30-40","#a7555e"
"Sikkens B0-35-35","b0-35-35","#a24454"
"Sikkens B2-30-30 ","b2-30-30","#88444d"
"Sikkens B2-24-25","b2-24-25","#754046"
"Sikkens B2-30-20 ","b2-30-20","#6a2e35"
"Sikkens B5-08-80","b5-08-80","#f8ccc8"
"Sikkens B2-20-70 ","b2-20-70","#f5a6a8"
"Sikkens B2-20-60 ","b2-20-60","#d79092"
"Sikkens B2-20-50 ","b2-20-50","#c1787d"
"Sikkens B2-20-40 ","b2-20-40","#965f63"
"Sikkens B2-20-30 ","b2-20-30","#764349"
"Sikkens B2-20-20 ","b2-20-20","#613b3d"
"Sikkens B1-16-12","b1-16-12","#452d2f"
"Sikkens B7-06-83","b7-06-83","#fbd8d3"
"Sikkens B6-20-70 ","b6-20-70","#f3aaa7"
"Sikkens B6-30-60 ","b6-30-60","#e88380"
"Sikkens B6-30-50 ","b6-30-50","#ca6b6e"
"Sikkens B6-35-40 ","b6-35-40","#a95053"
"Sikkens B6-30-40 ","b6-30-40","#a65455"
"Sikkens B6-30-30 ","b6-30-30","#874446"
"Sikkens B6-28-19","b6-28-19","#63322e"
"Sikkens B3-07-78","b3-07-78","#f0cbca"
"Sikkens B6-10-70 ","b6-10-70","#e5b8b4"
"Sikkens B6-15-65","b6-15-65","#db9f9b"
"Sikkens B6-20-60 ","b6-20-60","#d88f8c"
"Sikkens B6-20-50 ","b6-20-50","#b87874"
"Sikkens B6-20-40 ","b6-20-40","#946160"
"Sikkens B6-20-30 ","b6-20-30","#784445"
"Sikkens B7-28-19","b7-28-19","#642f32"
"Sikkens B2-10-80 ","b2-10-80","#f8cecd"
"Sikkens B2-10-70 ","b2-10-70","#ddb0af"
"Sikkens B2-10-60 ","b2-10-60","#c59c9d"
"Sikkens B2-10-50 ","b2-10-50","#a27d7e"
"Sikkens B2-10-40 ","b2-10-40","#86676a"
"Sikkens B2-10-30 ","b2-10-30","#6c5354"
"Sikkens B2-10-25 ","b2-10-25","#5e4446"
"Sikkens B2-10-20 ","b2-10-20","#543e3f"
"Sikkens B6-05-85 ","b6-05-85","#f9e3df"
"Sikkens B2-05-75 ","b2-05-75","#e5cacb"
"Sikkens B2-05-70 ","b2-05-70","#d0b9b8"
"Sikkens B2-05-65 ","b2-05-65","#c7afb1"
"Sikkens B2-05-55 ","b2-05-55","#a79694"
"Sikkens B1-05-45","b1-05-45","#8b7a7a"
"Sikkens B3-05-40","b3-05-40","#7c6e6d"
"Sikkens B1-05-35","b1-05-35","#716263"
"Sikkens CN-02-88 ","cn-02-88","#f9f3ec"
"Sikkens CN-03-86 ","cn-03-86","#f8e8e2"
"Sikkens CN-02-77 ","cn-02-77","#dcd0cb"
"Sikkens CN-02-67 ","cn-02-67","#c1b8b5"
"Sikkens CN-02-57 ","cn-02-57","#a29b99"
"Sikkens CN-02-47 ","cn-02-47","#88807f"
"Sikkens CN-02-37 ","cn-02-37","#6f6968"
"Sikkens CN-02-27 ","cn-02-27","#55504f"
"Sikkens C0-04-83 ","c0-04-83","#f7e0dc"
"Sikkens C0-04-78 ","c0-04-78","#e8d4d0"
"Sikkens C0-05-75 ","c0-05-75","#dcc7c4"
"Sikkens C0-05-65 ","c0-05-65","#c2adab"
"Sikkens C0-05-55 ","c0-05-55","#a6928f"
"Sikkens C0-05-45 ","c0-05-45","#887977"
"Sikkens C0-05-35 ","c0-05-35","#746564"
"Sikkens C0-05-25 ","c0-05-25","#564b49"
"Sikkens C0-07-82 ","c0-07-82","#fadad3"
"Sikkens C0-07-77 ","c0-07-77","#eccdc8"
"Sikkens C0-10-70 ","c0-10-70","#dfb6b0"
"Sikkens C0-10-60 ","c0-10-60","#c39e99"
"Sikkens C0-10-50 ","c0-10-50","#a18280"
"Sikkens C0-10-40 ","c0-10-40","#896c68"
"Sikkens C0-10-30 ","c0-10-30","#6c5653"
"Sikkens C0-10-20 ","c0-10-20","#514140"
"Sikkens C0-10-80 ","c0-10-80","#f8cdc5"
"Sikkens C0-15-75 ","c0-15-75","#f7bbb4"
"Sikkens C0-15-65 ","c0-15-65","#dfa59f"
"Sikkens C0-15-55 ","c0-15-55","#bc8783"
"Sikkens C0-20-50 ","c0-20-50","#b97a73"
"Sikkens C0-20-40 ","c0-20-40","#98645e"
"Sikkens C0-20-30 ","c0-20-30","#794a46"
"Sikkens C0-30-20 ","c0-30-20","#64302d"
"Sikkens C0-08-80","c0-08-80","#f9d3ca"
"Sikkens C4-20-70 ","c4-20-70","#eeab9b"
"Sikkens C4-20-60 ","c4-20-60","#cd9285"
"Sikkens C4-20-50 ","c4-20-50","#b17b71"
"Sikkens C4-30-50 ","c4-30-50","#c17464"
"Sikkens C0-30-40 ","c0-30-40","#9d594c"
"Sikkens C0-30-30 ","c0-30-30","#844940"
"Sikkens C0-40-20 ","c0-40-20","#733029"
"Sikkens C1-10-79","c1-10-79","#f9c9bc"
"Sikkens C0-20-70 ","c0-20-70","#f8ada0"
"Sikkens C0-20-60 ","c0-20-60","#d49089"
"Sikkens C0-25-55 ","c0-25-55","#c97c77"
"Sikkens C0-25-45 ","c0-25-45","#ab6661"
"Sikkens C0-30-40 ","c0-30-40","#a7554f"
"Sikkens C0-30-30 ","c0-30-30","#7d3b37"
"Sikkens C4-35-15 ","c4-35-15","#632e2a"
"Sikkens C0-17-72","c0-17-72","#f6ada1"
"Sikkens C0-25-65 ","c0-25-65","#ee978f"
"Sikkens C0-30-60 ","c0-30-60","#eb847e"
"Sikkens C0-30-50 ","c0-30-50","#cf736b"
"Sikkens B8-35-45","b8-35-45","#c2605a"
"Sikkens C0-40-40 ","c0-40-40","#b95452"
"Sikkens C0-40-30 ","c0-40-30","#923f3e"
"Sikkens C0-40-20 ","c0-40-20","#6e2725"
"Sikkens C3-20-73","c3-20-73","#ffb4a3"
"Sikkens C0-28-58","c0-28-58","#e28479"
"Sikkens C0-40-50 ","c0-40-50","#d4645a"
"Sikkens C0-50-40 ","c0-50-40","#be3b3a"
"Sikkens C0-50-30 ","c0-50-30","#9b2f32"
"Sikkens C2-60-25 ","c2-60-25","#8d2526"
"Sikkens C2-50-25 ","c2-50-25","#7d2724"
"Sikkens C0-45-20 ","c0-45-20","#712828"
"Sikkens C4-30-60 ","c4-30-60","#e48875"
"Sikkens C4-40-50 ","c4-40-50","#cf6550"
"Sikkens C4-40-40 ","c4-40-40","#b25343"
"Sikkens C4-50-40 ","c4-50-40","#ba4639"
"Sikkens C3-57-31","c3-57-31","#a63230"
"Sikkens C4-40-30","c4-40-30","#973d32"
"Sikkens C0-60-30 ","c0-60-30","#a8212c"
"Sikkens C0-48-20 ","c0-48-20","#7f2128"
"Sikkens C2-24-65","c2-24-65","#ed9183"
"Sikkens C2-38-50","c2-38-50","#d86b5c"
"Sikkens C2-53-40","c2-53-40","#c3433e"
"Sikkens C4-60-40 ","c4-60-40","#ca3831"
"Sikkens C6-65-35 ","c6-65-35","#b02d26"
"Sikkens C4-75-30","c4-75-30","#b52122"
"Sikkens C4-60-30 ","c4-60-30","#a62b26"
"Sikkens C4-50-30 ","c4-50-30","#97352e"
"Sikkens C4-32-60","c4-32-60","#eb8875"
"Sikkens C5-43-58","c5-43-58","#f67c62"
"Sikkens C5-43-54","c5-43-54","#e77361"
"Sikkens C4-46-50","c4-46-50","#dd6250"
"Sikkens C4-50-50 ","c4-50-50","#dd594e"
"Sikkens C4-55-40 ","c4-55-40","#c43a24"
"Sikkens C4-49-33","c4-49-33","#a4453a"
"Sikkens C4-55-30","c4-55-30","#952f27"
"Sikkens C8-34-63","c8-34-63","#f59270"
"Sikkens C8-45-55","c8-45-55","#eb7453"
"Sikkens C8-50-50 ","c8-50-50","#db664b"
"Sikkens C6-49-48","c6-49-48","#cf573d"
"Sikkens C8-50-40 ","c8-50-40","#b85136"
"Sikkens C8-51-39 ","c8-51-39","#b04e31"
"Sikkens C8-60-30 ","c8-60-30","#9d382b"
"Sikkens C8-50-30 ","c8-50-30","#8f4231"
"Sikkens C7-26-67","c7-26-67","#f7a68d"
"Sikkens C8-30-60 ","c8-30-60","#e08d70"
"Sikkens C8-40-60 ","c8-40-60","#ef8060"
"Sikkens C8-40-50 ","c8-40-50","#d36d4c"
"Sikkens C8-40-40 ","c8-40-40","#ad5b46"
"Sikkens C8-40-30 ","c8-40-30","#86412e"
"Sikkens C7-34-24","c7-34-24","#734339"
"Sikkens C8-40-20 ","c8-40-20","#6d3a30"
"Sikkens C7-22-72","c7-22-72","#f9af98"
"Sikkens C8-25-65 ","c8-25-65","#ea9c84"
"Sikkens C8-25-55 ","c8-25-55","#c8856f"
"Sikkens C8-30-50 ","c8-30-50","#bf735c"
"Sikkens C8-25-45 ","c8-25-45","#ab705d"
"Sikkens C8-30-40 ","c8-30-40","#a2614d"
"Sikkens C8-30-30 ","c8-30-30","#834e3e"
"Sikkens C8-30-20 ","c8-30-20","#64392d"
"Sikkens C8-15-75 ","c8-15-75","#f3bfac"
"Sikkens C8-19-74","c8-19-74","#ffbda5"
"Sikkens C8-20-70 ","c8-20-70","#f4b39d"
"Sikkens C8-20-60 ","c8-20-60","#db9682"
"Sikkens C8-20-40 ","c8-20-40","#926555"
"Sikkens C8-20-30 ","c8-20-30","#6f4739"
"Sikkens C8-20-20 ","c8-20-20","#5b3d37"
"Sikkens C4-05-20 ","c4-05-20","#4a403d"
"Sikkens C8-07-82","c8-07-82","#f7d9d0"
"Sikkens C8-10-80 ","c8-10-80","#fdd5c8"
"Sikkens C8-10-70 ","c8-10-70","#dbb9ac"
"Sikkens C8-15-65 ","c8-15-65","#d8a698"
"Sikkens C8-20-50 ","c8-20-50","#ae7e6d"
"Sikkens C4-20-40 ","c4-20-40","#906257"
"Sikkens C4-20-30 ","c4-20-30","#744d44"
"Sikkens C6-22-23","c6-22-23","#644139"
"Sikkens CN-01-90 ","cn-01-90","#faf1eb"
"Sikkens C8-04-83 ","c8-04-83","#f2e2db"
"Sikkens C8-05-75 ","c8-05-75","#dcc7bf"
"Sikkens C8-10-60 ","c8-10-60","#be9f95"
"Sikkens C8-15-55 ","c8-15-55","#b89083"
"Sikkens C8-16-48 ","c8-16-48","#a37a6c"
"Sikkens C9-21-31","c9-21-31","#775145"
"Sikkens C8-25-18","c8-25-18","#5d403a"
"Sikkens C8-03-78","c8-03-78","#ded1cc"
"Sikkens C4-05-65","c4-05-65","#c3b1ab"
"Sikkens C8-05-65 ","c8-05-65","#bfada8"
"Sikkens C8-05-55 ","c8-05-55","#a4938e"
"Sikkens C8-10-50 ","c8-10-50","#9e857c"
"Sikkens C8-10-40 ","c8-10-40","#856c65"
"Sikkens C8-10-30 ","c8-10-30","#63504a"
"Sikkens C8-10-20 ","c8-10-20","#54453f"
"Sikkens D2-03-86 ","d2-03-86","#f9eadf"
"Sikkens D2-05-80 ","d2-05-80","#f4dbd0"
"Sikkens D2-10-70 ","d2-10-70","#deb8a8"
"Sikkens D2-10-60 ","d2-10-60","#c0a293"
"Sikkens D2-10-50 ","d2-10-50","#9b8379"
"Sikkens D2-10-40 ","d2-10-40","#816c65"
"Sikkens D2-10-30 ","d2-10-30","#675750"
"Sikkens D2-10-25 ","d2-10-25","#57453e"
"Sikkens D2-10-80 ","d2-10-80","#f7d3c4"
"Sikkens D2-15-75 ","d2-15-75","#f3c2aa"
"Sikkens D2-15-65 ","d2-15-65","#d2a692"
"Sikkens D2-15-55 ","d2-15-55","#b48e7e"
"Sikkens D3-18-43","d3-18-43","#937160"
"Sikkens D2-20-30 ","d2-20-30","#724e3f"
"Sikkens D2-15-25 ","d2-15-25","#5a433a"
"Sikkens D2-15-15 ","d2-15-15","#52403c"
"Sikkens D2-15-80 ","d2-15-80","#f6cdb8"
"Sikkens D2-20-70 ","d2-20-70","#eab297"
"Sikkens D2-20-60 ","d2-20-60","#c99379"
"Sikkens D2-20-50 ","d2-20-50","#ad7d67"
"Sikkens D2-20-40 ","d2-20-40","#8f6452"
"Sikkens D2-25-30 ","d2-25-30","#794e39"
"Sikkens D2-30-30 ","d2-30-30","#7d4e3a"
"Sikkens D2-35-25 ","d2-35-25","#7c4734"
"Sikkens D2-30-70 ","d2-30-70","#f1a07b"
"Sikkens D2-30-60 ","d2-30-60","#dd906a"
"Sikkens D2-35-55","d2-35-55","#d4815a"
"Sikkens D2-30-50","d2-30-50","#b5765a"
"Sikkens D2-35-45","d2-35-45","#ac694a"
"Sikkens D2-30-40 ","d2-30-40","#9f6144"
"Sikkens D2-40-40 ","d2-40-40","#a35b3f"
"Sikkens D2-40-30 ","d2-40-30","#874e37"
"Sikkens D4-23-71","d4-23-71","#eda883"
"Sikkens D6-35-70","d6-35-70","#f49f6b"
"Sikkens D2-40-60 ","d2-40-60","#ec885a"
"Sikkens D2-50-55 ","d2-50-55","#ef7a45"
"Sikkens D2-40-50 ","d2-40-50","#c5704c"
"Sikkens D2-50-50 ","d2-50-50","#cd663d"
"Sikkens D2-50-30 ","d2-50-30","#8f472b"
"Sikkens D4-30-20","d4-30-20","#653e2e"
"Sikkens D9-25-74","d9-25-74","#fbbb8e"
"Sikkens D7-41-60","d7-41-60","#e5925a"
"Sikkens D6-47-61","d6-47-61","#f28c4f"
"Sikkens D6-58-58","d6-58-58","#f47a30"
"Sikkens D5-63-53","d5-63-53","#eb6c24"
"Sikkens D3-71-48","d3-71-48","#e55a25"
"Sikkens D3-65-43","d3-65-43","#cf5523"
"Sikkens D1-58-40","d1-58-40","#c24f29"
"Sikkens D9-40-68","d9-40-68","#faa563"
"Sikkens D6-50-60 ","d6-50-60","#ee8741"
"Sikkens D8-65-50","d8-65-50","#e66d1e"
"Sikkens D6-60-50 ","d6-60-50","#d26725"
"Sikkens D6-50-50 ","d6-50-50","#ca6d37"
"Sikkens D6-60-40 ","d6-60-40","#b05823"
"Sikkens D6-50-40 ","d6-50-40","#a75a2e"
"Sikkens D6-50-30 ","d6-50-30","#8e4b2b"
"Sikkens D8-37-65","d8-37-65","#efa066"
"Sikkens D6-40-60 ","d6-40-60","#e48c54"
"Sikkens D6-35-55","d6-35-55","#cb875c"
"Sikkens D6-40-50 ","d6-40-50","#c57242"
"Sikkens D6-40-40 ","d6-40-40","#9e5b33"
"Sikkens D6-40-30 ","d6-40-30","#7f4c30"
"Sikkens D6-30-30 ","d6-30-30","#7d533c"
"Sikkens D6-30-20 ","d6-30-20","#5e3f30"
"Sikkens D6-25-70","d6-25-70","#f7b58d"
"Sikkens D6-30-70","d6-30-70","#f5a97c"
"Sikkens D6-30-60","d6-30-60","#db9167"
"Sikkens D6-25-65","d6-25-65","#dfa17d"
"Sikkens D6-30-50 ","d6-30-50","#b37b58"
"Sikkens D6-35-45","d6-35-45","#ac704b"
"Sikkens D6-30-40","d6-30-40","#94603e"
"Sikkens D6-25-30","d6-25-30","#75523d"
"Sikkens D6-20-80 ","d6-20-80","#fbc3a2"
"Sikkens D6-20-70 ","d6-20-70","#e4ad8e"
"Sikkens D6-20-60 ","d6-20-60","#ca997d"
"Sikkens D6-25-55","d6-25-55","#c0896c"
"Sikkens D6-20-50 ","d6-20-50","#ad8066"
"Sikkens D6-20-40 ","d6-20-40","#8a644f"
"Sikkens D6-20-30 ","d6-20-30","#6c4d3b"
"Sikkens D6-20-20 ","d6-20-20","#564033"
"Sikkens D7-10-82","d7-10-82","#fbd9c6"
"Sikkens D6-10-80 ","d6-10-80","#f5d6c4"
"Sikkens D6-15-75 ","d6-15-75","#efc5af"
"Sikkens D6-15-65 ","d6-15-65","#d2aa93"
"Sikkens D6-15-55 ","d6-15-55","#af8d79"
"Sikkens D6-10-40 ","d6-10-40","#806d61"
"Sikkens D6-15-25 ","d6-15-25","#5b4538"
"Sikkens D6-10-20 ","d6-10-20","#53473f"
"Sikkens D6-05-65 ","d6-05-65","#f2dfd4"
"Sikkens D6-07-82","d6-07-82","#f2dacb"
"Sikkens D6-07-77","d6-07-77","#e5ccbd"
"Sikkens D6-10-70 ","d6-10-70","#d5b6a4"
"Sikkens D6-10-60 ","d6-10-60","#b99c8b"
"Sikkens D6-10-50 ","d6-10-50","#9b8679"
"Sikkens D6-10-30 ","d6-10-30","#63534a"
"Sikkens E0-05-25","e0-05-25","#4f4640"
"Sikkens DN-02-82 ","dn-02-82","#e9e0da"
"Sikkens D6-04-78 ","d6-04-78","#e5d9cf"
"Sikkens D6-05-75 ","d6-05-75","#dfcdc3"
"Sikkens D6-05-65","d6-05-65","#c4b4ab"
"Sikkens D6-05-55 ","d6-05-55","#a59790"
"Sikkens D6-05-45 ","d6-05-45","#8a7f79"
"Sikkens D6-05-35 ","d6-05-35","#706762"
"Sikkens D6-05-25 ","d6-05-25","#564d49"
"Sikkens E0-03-88 ","e0-03-88","#f7ece2"
"Sikkens E0-03-84","e0-03-84","#f3e7dd"
"Sikkens E0-05-75 ","e0-05-75","#d9c9bc"
"Sikkens E0-10-70 ","e0-10-70","#d7bba8"
"Sikkens E0-10-60 ","e0-10-60","#b69e8f"
"Sikkens E0-10-50 ","e0-10-50","#988374"
"Sikkens E0-05-45 ","e0-05-45","#887d75"
"Sikkens E0-10-30 ","e0-10-30","#63574e"
"Sikkens E0-10-80 ","e0-10-80","#f3d7c4"
"Sikkens E1-14-79","e1-14-79","#f7d1b3"
"Sikkens E0-15-75 ","e0-15-75","#efc5a7"
"Sikkens E0-15-65 ","e0-15-65","#cdab92"
"Sikkens E0-15-55 ","e0-15-55","#af9079"
"Sikkens E0-15-45 ","e0-15-45","#917764"
"Sikkens E0-10-40 ","e0-10-40","#7f6d5f"
"Sikkens E0-15-35","e0-15-35","#755e4c"
"Sikkens E0-20-80 ","e0-20-80","#fccaa2"
"Sikkens E0-20-70 ","e0-20-70","#e7b791"
"Sikkens E0-25-65 ","e0-25-65","#dca87f"
"Sikkens E0-20-60 ","e0-20-60","#c19878"
"Sikkens E0-20-50 ","e0-20-50","#a78167"
"Sikkens E0-25-45 ","e0-25-45","#a17758"
"Sikkens E0-20-40 ","e0-20-40","#87664d"
"Sikkens E0-20-30 ","e0-20-30","#6c4c36"
"Sikkens E0-25-75 ","e0-25-75","#fabd8d"
"Sikkens E0-30-70 ","e0-30-70","#f5b37f"
"Sikkens E1-21-69","e1-21-69","#e1b28b"
"Sikkens E0-30-60 ","e0-30-60","#cf986d"
"Sikkens E0-25-55 ","e0-25-55","#bb8d69"
"Sikkens E0-30-50 ","e0-30-50","#ab7952"
"Sikkens E0-30-40 ","e0-30-40","#926541"
"Sikkens E0-25-35 ","e0-25-35","#805e43"
"Sikkens E0-35-65","e0-35-65","#e6a36c"
"Sikkens E0-40-60 ","e0-40-60","#d78f56"
"Sikkens E0-35-55","e0-35-55","#c68957"
"Sikkens E0-45-55 ","e0-45-55","#d38140"
"Sikkens E0-50-50 ","e0-50-50","#c67538"
"Sikkens E0-40-50 ","e0-40-50","#bc7846"
"Sikkens E0-40-40 ","e0-40-40","#9f6635"
"Sikkens E0-45-30","e0-45-30","#8b572f"
"Sikkens E0-40-70 ","e0-40-70","#f8a360"
"Sikkens E0-50-65 ","e0-50-65","#fa9641"
"Sikkens E0-50-60 ","e0-50-60","#ea8a3e"
"Sikkens E0-60-50 ","e0-60-50","#cb7328"
"Sikkens E0-60-40 ","e0-60-40","#a75d22"
"Sikkens E0-50-40 ","e0-50-40","#a25f2e"
"Sikkens E0-48-30 ","e0-48-30","#814e26"
"Sikkens E0-30-20","e0-30-20","#624430"
"Sikkens E4-50-70 ","e4-50-70","#faa64a"
"Sikkens E4-50-60 ","e4-50-60","#de903a"
"Sikkens E4-60-60 ","e4-60-60","#eb8d20"
"Sikkens E4-60-50 ","e4-60-50","#c3751e"
"Sikkens E4-50-50 ","e4-50-50","#bd7a30"
"Sikkens E4-50-40 ","e4-50-40","#9d6126"
"Sikkens E0-40-30","e0-40-30","#7a4e2a"
"Sikkens E0-30-30","e0-30-30","#785133"
"Sikkens E5-27-77","e5-27-77","#ffc98e"
"Sikkens E4-30-75 ","e4-30-75","#f9bd7e"
"Sikkens E4-40-70 ","e4-40-70","#fbb162"
"Sikkens E4-40-60 ","e4-40-60","#d69551"
"Sikkens E4-40-50 ","e4-40-50","#ba8043"
"Sikkens E4-40-40 ","e4-40-40","#916435"
"Sikkens E4-40-30 ","e4-40-30","#77502a"
"Sikkens E5-35-25","e5-35-25","#64482f"
"Sikkens E6-19-80","e6-19-80","#ffd5a5"
"Sikkens E4-30-70 ","e4-30-70","#e9b076"
"Sikkens E4-30-60 ","e4-30-60","#cc9c6b"
"Sikkens E4-30-50 ","e4-30-50","#a67d51"
"Sikkens E1-22-47","e1-22-47","#a78263"
"Sikkens E4-30-40","e4-30-40","#8b663f"
"Sikkens E4-30-30","e4-30-30","#72573e"
"Sikkens E4-30-20","e4-30-20","#563e26"
"Sikkens E4-20-80 ","e4-20-80","#fcd2a9"
"Sikkens E4-25-75 ","e4-25-75","#f5bc85"
"Sikkens E4-25-65 ","e4-25-65","#d6a67a"
"Sikkens E1-26-54","e1-26-54","#c19268"
"Sikkens E4-25-55 ","e4-25-55","#b88e66"
"Sikkens E4-25-35 ","e4-25-35","#7a5e42"
"Sikkens E4-25-30 ","e4-25-30","#72563c"
"Sikkens E4-15-25","e4-15-25","#5b4b3c"
"Sikkens E4-10-85","e4-10-85","#fbe1c3"
"Sikkens E3-20-77","e3-20-77","#f7c89f"
"Sikkens E4-20-75","e4-20-75","#f3c599"
"Sikkens E4-20-70","e4-20-70","#ddb792"
"Sikkens E4-20-60","e4-20-60","#c49e7f"
"Sikkens E4-20-50","e4-20-50","#a7876a"
"Sikkens E4-20-40","e4-20-40","#896e52"
"Sikkens E4-20-30","e4-20-30","#634b35"
"Sikkens E5-08-84","e5-08-84","#f8e3cd"
"Sikkens E4-07-82","e4-07-82","#f0dcc7"
"Sikkens E4-10-80","e4-10-80","#f5dcc1"
"Sikkens E4-15-75","e4-15-75","#e9c7a6"
"Sikkens E4-15-65","e4-15-65","#cdab8d"
"Sikkens E4-15-55","e4-15-55","#af937a"
"Sikkens E4-15-45","e4-15-45","#8b745e"
"Sikkens E4-15-35","e4-15-35","#755f4d"
"Sikkens E4-03-80","e4-03-80","#ded6cf"
"Sikkens E4-05-75","e4-05-75","#d8ccbf"
"Sikkens E4-07-77","e4-07-77","#dfcebd"
"Sikkens E4-10-70","e4-10-70","#d1bdab"
"Sikkens E4-10-60","e4-10-60","#b3a08e"
"Sikkens E4-10-50","e4-10-50","#998675"
"Sikkens E4-10-40","e4-10-40","#786b60"
"Sikkens E4-10-30","e4-10-30","#5c5045"
"Sikkens E4-05-85","e4-05-85","#f6e7da"
"Sikkens E6-07-84","e6-07-84","#f6e4d2"
"Sikkens E1-09-78","e1-09-78","#ead2be"
"Sikkens E3-09-72","e3-09-72","#d6c2af"
"Sikkens E0-11-67","e0-11-67","#ccb39f"
"Sikkens E0-09-53","e0-09-53","#a18e7f"
"Sikkens E8-10-40","e8-10-40","#7b6e60"
"Sikkens E8-10-30","e8-10-30","#655a4e"
"Sikkens EN-02-88","en-02-88","#f6eee6"
"Sikkens EN-02-87","en-02-87","#f6eee6"
